标题,totalStarIcon1,resource_date
孩子很喜欢这个地方，很有水乡风味,5分,2020-09-26
夜景真的超美,5分,2020-09-22
晚上比较好看。作为第一水乡古镇，水乡景色没有想象的好。玩点也不算很多。,4分,2021-01-05
比一般古镇有意思一些，值得一去,4分,2021-01-05
昆山著名景点 休闲好去处 绝对好玩,5分,2020-12-11
很不错的地方！值得一去！赞👍,5分,2020-12-06
周庄真的很好看，也很适合居住。,5分,2020-11-18
有点意思的地方。值得去看看的。,5分,2020-11-04
典型的江南气息，非常喜欢这种的,5分,2020-11-03
景色很好看，体现南方水乡的特色,5分,2020-10-27
我姐姐最喜欢去周庄古镇了，好美,5分,2020-10-18
风格独特很有当地特色很喜欢的。,5分,2020-10-16
感觉很赞 下次还会再来 小孩子老人都很喜欢 管家ANNE 很有耐心很贴心 服务的很好 还送了小礼物 儿子很喜欢 很棒的一次旅行,5分,2020-09-27
没意思，还不如免费的锦溪。,3分,2021-03-06
江南第一水乡，夜景非常美。,5分,2020-11-11
齐云山景色不错，节假日游玩人也不多，总体感觉很好，值得推荐游玩。,4分,2021-01-13
跟闺蜜一起，开车随走随玩,5分,2020-10-25
适合悠闲放松，景色不错，八十块钱门票感觉小贵值得推荐，景色不错，,4分,2020-10-09
美丽的周庄，休闲度假的好去处！古色古香，在镇内住上一晚，或亲子或好友，放慢脚步，走在安静的小胡同里，细细品味它的美，它的静！,5分,2020-08-26
周庄是江南最早闻名于世的水乡古镇，被称为“中国第一水乡”。镇上水路纵横，明清老建筑依河而建，画家陈逸飞笔下的双桥刻画出小桥流水人家的温柔，古镇南边的南湖开阔美丽。,5分,2020-08-25
周庄是比较值得游玩的地方，己多次去，喜欢江南水乡的人文地理，景色不错，性价比高，总体超赞，有趣好玩，,5分,2020-11-21
"周庄，是一座江南小镇，有“中国第一水乡”之誉[1]，是国家首批5A级景区。周庄始建于1086年（北宋元祐元年），因邑人周迪功先生捐地修全福寺而得名。春秋时为吴王少子摇的封地，名为贞丰里。

周庄位于苏州昆山，是江南六大古镇之一，于2003年被评为中国历史文化名镇",5分,2020-07-24
第一次去，玩的很不错，说一些实用的吧，到景区后可以把车停在附近停车场，直接买票进园，在进入检票口左手边可以登记下三天内自由进入，在古镇里面有很多的民宿，环境很好，早晚散步很舒服，夜景很美的，还有一点，古镇里有很多小的进出口，晚上七点以后，早上七点半之前小的检票口没有人可以免费进去的哦，建议去玩的话下午去，晚上夜游古镇，在民宿美美睡一晚，早上散个步，白天好好游玩一遍就可以咯,5分,2020-04-06
"碧玉周庄，从上海自驾到达古镇，可以先去博物馆了解一下周庄的历史，然后去精致小巧的迷楼逛一逛，随后去全福讲寺、南湖秋月园，景点内部环境非常好。
时间充裕的话最好乘船游玩，来个古镇水巷游。
随后去游览沈厅，其中松茂堂最有看点，出来去观赏沿河临街的张厅。最后去双桥拍照。
吃的话沈厅酒店的万三猪蹄、奥灶面、周庄一绝阿婆菜比较代表地方特色，酒店环境不错，价格公道，量也足。但听着食欲大动，吃起来别指望太多惊喜了。",5分,2019-12-28
因为错峰出行，所以非常满意。在江南水乡的小桥街道上来回走了好几遍。。。喜欢这种慢节奏的旅行方式。,5分,2020-10-27
去了有点后悔,3分,2021-02-17
小桥流水人家,5分,2020-09-30
景区面积不小，景色还是不错的，也有不少小吃可以品尝,3分,2021-02-02
非常漂亮。,5分,2020-11-03
景区面积不小，景色还不错，建筑风格独特，游客不少,3分,2021-01-23
景色不错 江南水乡都是大同小异了 基本都是很商业化 了解一下文化历史比较好,5分,2020-09-20
梦里周庄，江南水乡。周庄于同里不同，风格不一样，沿河店家多点，水多点，人多点，景多点。,5分,2020-10-08
去过不少古镇、周庄跟其他的类似、商业化也挺重的、可以去玩玩、但也少有什么特别的地方,4分,2020-10-04
景色不错，体验很好，值得推荐，有趣好玩，很不错，值得一玩，推荐,5分,2020-09-23
江南水乡的典型，走在小河边。踏着石条路，别有情趣。是个散散心的好去处。景色不错，,5分,2020-11-26
"“天下三分明月夜，二分无赖是扬州”。这话用在周庄，用在“周庄生活客栈”，也确切不过。
周庄，此前去过两次，匆匆往返。此番是疫情开始以来头一回出门散心还住在外面。住对了。
退房后，在“客厅”品着老板让住客自取自助的”功夫茶”，赖了又赖，肚子强烈抗议后才换鞋出门。
没能力去描述店里的装饰和意境。只感受到主人经久的用心。
谢谢他们营造了这么“无赖”的地方。",5分,2020-08-17
景色不错，值得推荐，体验很好，有趣好玩，很美哦，很适合拍照,5分,2020-09-20
周庄古镇是世界文化遗产预选地、首批国家5A级旅游景区，位于苏州城东南，位于昆山、吴江、上海三地交界处。井字型河道上完好保存着14座建于元、明、清各代的古石桥。,5分,2020-08-28
夜景很棒的古镇，晚上去可以免票直接进景区，灯光大概在晚上九点左右开始陆续关闭，拍照的话在这之前搞定,5分,2020-04-23
一般情况吧，水质不是很干净，别的还好,4分,2020-12-30
小家碧玉的感觉，多次观光，非常喜欢这种古色古香的古镇。携程订票非常快捷方便。,5分,2020-10-12
周庄是个去了就不想回的江南水乡，张厅，沈厅，全福讲寺，宣卷馆，柿园……都不错，所以第一次来一定买张景区联票，出景区可以办理手续哦。周庄附近还有一个幽静水乡～～锦溪古镇很不错的。,5分,2020-01-01
不是很喜欢这种风格的景点，缺乏趣味,3分,2021-01-30
挺好的，离上海近，人也不是特别多，古镇也挺大，还可以去附近的锦溪和千灯古镇,5分,2020-10-12
性价比可以，门票50一张，在里面住了一晚上，晚上坐船游夜景真的很不错，就是船票有点贵。典型水乡古镇，就是白天人有点多，晚上更有韵味一点,5分,2020-06-30
一个没有本地人生活气息的古镇，平时游客多人看人，疫情时期就看出有多空洞了,3分,2021-02-02
景色不错，夜景真的超棒，一定要去看夜景，适合小情侣们去，可以住上一晚民宿,5分,2020-11-29
还是有必要逛一下的，相对来说有点远，要是有地铁就好了，古镇其实都差不多。,5分,2020-11-14
周庄水煮鱼，水煮牛肉，酱油虾。,3分,2021-01-13
景色不错，性价比高，总体超赞，,5分,2020-10-25
景色挺美的，消费水平不高，但是不是特别大，一般半天就可以玩好了，晚上看看夜景，还是挺不错的景色不错，值得推荐，,4分,2020-10-08
江南古韵，景色不错，值得推荐，,5分,2020-10-01
疫情期间，人少，店铺开门的不多，体验了下没那么商业的周庄，还是挺美的,5分,2020-10-06
晚上买的，很便宜，晚上有活动的时候买才60，很巧，客栈老板推荐买的。,5分,2020-10-01
十分方便，带的餐饮也都不错，有趣好玩，景色不错，体验很好，值得推荐，,5分,2020-09-29
门票的价格有点贵景色不错，,4分,2021-01-02
虽然是苏州人，第一次去周庄，商业气纷太多浓，景色比不上同里和锦溪。,5分,2020-10-29
值得推荐，周庄难得一次半价，古镇景色确实不错，古镇很大能住一天更好,5分,2020-09-29
还不错，就是玩的时候突然降温了，被冻死了，也只有沈厅开放了，无奈,5分,2020-11-28
被景区导流政策坑了，3公里外强制停车！结果我们一路走一路看见源源不断开进景区的车，***专门欺负外地游客！,3分,2020-10-10
江南古镇大同小异，只是进去以后觉得周庄这么大的名气有点名不副实。,5分,2020-10-06
还可以吧，和乌镇比，规划上稍有欠缺，里面原居民很多，比较原生态。,5分,2020-09-27
个人感觉比乌镇差一点点。,5分,2020-09-26
周末在家没事可以来散散心,5分,2020-09-14
当时沈厅没开，比较遗憾,4分,2021-01-03
非常好有趣好玩，景色不错，总体超赞，一定要住在里面，吃的也很好,5分,2020-10-24
值得推荐，体验很好，有趣好玩，景色不错，纸箱王套餐值得推荐超赞,5分,2020-09-29
携程还是很不错的，虽然中间出了一点小插曲，但还是很好的解决了。,5分,2020-09-27
周庄位于苏州昆山，是江南六大古镇之一，有“中国第一水乡”之誉，是国家首批5A级景区。周庄有沈万三故居、沈厅、一稀堂博物馆、怪楼、全福讲寺等著名景点，是中国水乡文化和吴地方文化的瑰宝。,5分,2020-04-13
位置离苏州有点远，但是很方便。地方不大，内部商业气氛比较重。,5分,2020-11-27
景点还不错，水乡景色，人文气息，就是景点有点小人员密度比较大,4分,2020-11-02
体验很好，景色不错，有趣好玩，值得推荐，,5分,2020-09-22
值得推荐，万三猪蹄挺好吃，万三厅值得一看,5分,2020-09-19
景色不错，有趣好玩，体验很好，值得推荐，,5分,2020-09-17
体验很好，景色不错，值得推荐，有趣好玩，,5分,2020-09-14
值得推荐，体验很好，有趣好玩，景色不错，,5分,2020-09-14
体验很好，值得推荐，有趣好玩，景色不错，,5分,2020-09-13
"感受江南水乡韵，那桥，那水，那景，那人
穿街走巷。到了晚上，人渐少，变得安静了。再逛逛更别具意味惬意。",5分,2020-08-11
江南水乡众多，大大小小的水乡不计其数，其中的周庄位列江南六大古镇之一。周庄在六大古镇里算比较小的，但是因为富可敌国的沈万三和画家陈逸飞而为人所熟知，尤其是陈逸飞笔下的双桥，更是尽人皆知，也称为了众多游客来此打卡拍照的取景之地。,5分,2020-04-16
"周庄历史悠久，是典型的江南水乡风貌，有独特的人文景观，是中国水乡文化和吴地方文化的瑰宝。镇上水路纵横，明清老建筑依河而建，画家陈逸飞笔下的双桥刻画出小桥流水人家的温柔。
坐在店里细细品味，不单是品味茶香，更是品味周庄的文化底蕴，水乡古镇的古老情怀。
亦许踏入古朴典雅的古戏台。听一场缱绻不已的昆曲，看台上的人儿在进退之间浅吟低唱。
你会发现，这迤逦之声，会在不知不觉间逐渐地蔓延开来，浸淫了古江南的生活方式，让忙碌的心变得缓慢而柔软。这何尝不是一种享受呢，此刻您可能会惊叹，抛开一切，生活就是如此的简单，岁月流年，精彩万分。",5分,2020-04-05
平时门票80左右吧，疫情后在家闷久了出来逛圈，买的携程特惠票30，就过来看看，还是很不错的，景色很美，毕竟江南古镇，烟雨人家，晚上景点也不错，有很多灯带的交相辉映，还是水幕电影，疫情影响，人也不多，里面很大，很多卖小商品纪念品的，房屋错落有致，很多原住民生活场景，还是值得逛的,5分,2020-03-25
一个特别富有诗意的地方，一个具有浓厚江南水乡特色的地方，一个来了就想住下不想走的地方。建议朋友们晚上到，夜里进入周庄古镇是不收费的，住在古镇里，第二天一整天游玩，转完古镇之后晚上再出来返回苏州，这是个最完美的安排,5分,2020-03-08
"周庄是苏州著名水乡，小桥流水人家、大宅庭院，还是挺好看的。已去过多次了，之前都是白天去的，在早时人没现在这么多，现在白天人熙熙攘攘的，河岸边挤满了人，不过晚上到是挺清静的，夜景也很不错。
周庄主要景点有富安桥、双桥、张厅、沈厅、怪楼等，著名美食就是万三蹄膀了，还有肉粽。双桥因画家陈逸飞的油画而闻名于世，也带动了周庄旅游的开发。沈厅是沈万三的故居，沈万三富可敌国，是明朝的巨贾。张厅最著名的是院里有码头，船自家中过了！",5分,2020-02-25
周庄过大年，还原再现传统年俗文化，让游客在感受水乡迷人情韵的同时，重温儿时过年记忆，尽享喜庆而醇正的中国年味习俗盛宴。周庄的年味很浓很长。大年初一，古牌楼下打春牛，摸摸牛身好彩头；大年初五迎财神，走财道、沾财气；十五赏花灯、猜灯谜，梦幻元宵良辰美景，浓浓年味贯穿初一至十五。一摸春牛头，万事好开头；二摸春牛肚，今年好丰收，三摸春牛尾，一年到头好兆头”。想拍拍牛头，摸摸牛肚，讨个好彩头的游客，可以在大年初一上午在古牌楼前同古镇原住民一起参与传统的打春牛活动。此外，打春牛仪式结束后，摸春牛从年初一一直延续到年初七。,5分,2020-01-28
"周庄的十二时辰
周庄就是华东水乡的一个代表，她的白天跟黑夜各自有不同的美，白天的周庄是一种平和的优雅，大街上人不是特别的多，生活气息慢慢的显现，从早上的黎明时分，农作物的耕种，还有这边的小商铺的整理。
中午的周庄是热热闹闹的，游客们陆续的进场，各种商户都做得热火朝天，早餐跟午餐的店铺都相继开业，各种吆喝声络绎不绝。
下午的周庄是有另外一种美，各种游船纷纷出没，大街上都是拍照的人群。
晚上的周庄是五光十色的，灯光照耀之下，显得这边的树木还有古建筑都相当的有一种神秘感，这就是周庄的12时辰，是那么的亲切，又是那么的高雅。",5分,2020-01-12
来江南这么久，一直想打卡周庄却没成行，天冷下来倒是有机会了，想来冬天的周庄也会别有一番韵味。周庄并不大，却有好多有意思的故事。沈万三的猪蹄，富安桥的好运，双桥的诗情画意都是让人流连忘返的。最吸引人的还是那些古镇特有的小桥流水垂柳，安静的坐一会，欣赏的古镇的风景，甚是惬意呀。,5分,2019-12-13
"比想象中惊喜的小镇 商业化有点重 
少了些当地的特色景色不错，",5分,2020-11-28
风景真好，服务真好，银杏树实在太美了，层林尽染，满地黄金甲,5分,2020-11-16
很童心的一个有趣好玩，景色不错，体验很好，值得推荐，景点,5分,2020-09-29
"景色不错，
就是人太多，不限流，人挤人的没法看景色了，旅游团太多了，疫情期间弄这么人挤人的也是不安全。总之不是很满意，票价感觉看不回来。",4分,2020-11-02
风景不错，就是周围店铺太千篇一律了,5分,2020-09-17
江南第一水乡古镇 名不虚传 需慢慢品味,5分,2020-09-13
周庄不错，南方水乡的特点很突出，布局很紧凑，保护的很好，但游客中心的位置离进入景区的门口太远了，你如果不愿走，还不需买船票，不合理。,4分,2020-11-11
江南水乡，好像从画中走出来的世界一样，让人心驰神往。,4分,2020-11-01
景区停车场大，游船进（单程60/人）小车（30/人）；与南浔古镇服务、配套设施相比还有待提高,3分,2020-10-07
景色不错，江南民居还是觉得比其他的有特色有历史底蕴。,5分,2020-09-30
环境很不错，下次去一定多住几天。,5分,2020-09-21
有趣好玩，,4分,2021-01-29
挺值得看的，江南风情，沈万三旧里，可以尝尝万三蹄。,5分,2020-12-10
沈厅在维修没能进去有点遗憾，其他不错，人仍然不少。,5分,2020-10-19
去过周庄，难以忘怀，特别美，小桥流水，别有一番滋味,4分,2020-10-02
有趣好玩，值得推荐，景色不错，,5分,2020-09-17
著名画家陈逸飞的一幅油画“故乡的回忆”，让昆山周庄成为世界各地游客的喜爱之地，具有江南古镇的小巧和灵透之气，特别是夜幕下的周庄出奇得美，非常适合拍照。,5分,2020-08-17
抓住2019年的尾巴，举家来次烟雨江南之旅。虽然曾经来过周庄两三次了，不过还从未在晚上游览古镇。晚上游客和白天差不多，不过商店关门不少，可能是淡季的原因吧。灯光的确漂亮，不愧为中国第一水乡！,5分,2020-03-25
"周庄古镇旅游景点代表性，不愧是水乡,江水千回百转，设计精美，参观了张厅气派豪华十足，有江南水乡风情浓郁的味道。特别是晚上的巜四季周庄》编辑不错，有风趣幽默诙谐搞笑，场面非常壮观，值得一看。",5分,2020-07-05
门票价格不低，也没有其他可以参观的景点，幸亏当天天气不错，拍照光线好，蓝天白云下的感觉就开心了。水乡古镇风光毕竟都是差不多的。,4分,2020-11-22
有“中国第一水乡”之誉，小桥、流水、人家。处处有画，处处有诗。漫步古镇，徜徉小船，感受烟雨蒙蒙的江南水乡！,5分,2020-08-04
去过的最喜欢的一个地方，非常美，很有历史气息,4分,2020-12-05
地方可以，有江南特色，水乡交错，吃东西也还好,5分,2020-11-18
不太好，跟同里古镇差不多,5分,2020-09-20
不错，著名景点，值得一游,5分,2020-09-15
江苏省昆山市的周庄古镇是江南六大古镇之一！,4分,2020-11-12
刷身份证最方便了，多次入园很爽！体验很好，,5分,2020-10-17
一个一去，文化底蕴深厚,5分,2020-10-03
很美的景色，跟西塘不一样的美。婉约，秀美！,5分,2020-09-24
周庄是位于苏州周边的著名水乡，位列江南六大古镇之一，河道曲折蜿蜒，民居在河岸两侧袅袅矗立，河道里小舟飘飘荡荡，一派江南的婉转婀娜风姿。古镇内名人故居和景点颇多，非常值得好好感受赏玩。,5分,2020-03-18
有趣好玩，景色不错，总体超赞，性价比高，,5分,2020-11-26
景色不错，有趣好玩，总体超赞，性价比高，,5分,2020-11-14
景色不错，有趣好玩，性价比高，总体超赞，,5分,2020-11-10
环境卫生不错，很干净，老板人也很nice,5分,2020-11-08
如果去过乌镇就会对周庄很失望，如果没去过乌镇，建议去看看乌镇不用考虑周庄了。首先交通不便，从游客中心下大巴没有观光车什么的带你去景区门口，询问工作人员态度恶劣，推着箱子走过去很远，三轮车和黑车宰客太夸张，打滴滴是明智的选择。而且回苏州的大巴不在游客中心上车，要下载巴士管家提前买票，在周庄汽车站上车，这个问了酒店前台才知道，询问大巴车司机态度依然恶劣且不告知清楚。其次，景区里面的某些饭店价格很坑，而且味道很难吃，能不吃还是尽量不要去了。景区里面也没什么特色的店铺，都是一些售卖品种单一且重复的小商店和所谓的网红店，这大概就是所谓的烟火气吧……逛了一圈特别失望，已经没有了水乡的感觉。最后，酒店也是一个大坑，民宿良莠不齐，一定要多看评价反复比对。总之我不会再来这个地方，也不会推荐亲朋好友来这里。,3分,2020-10-27
有趣好玩，性价比高，景色不错，总体超赞，,5分,2020-10-21
小桥流水，算是值得一去吧，就是门票略贵。,4分,2020-10-21
有趣好玩，值得推荐，景色不错，体验很好，,5分,2020-10-20
体验很好，有趣好玩，景色不错，值得推荐，,5分,2020-10-11
有趣好玩，景色不错，体验很好，值得推荐，,5分,2020-10-11
值得推荐，有趣好玩，体验很好，景色不错，,5分,2020-10-09
江南水乡古镇，白天晚上各有特色，值得一去,5分,2020-10-09
体验很好，值得推荐，有趣好玩，景色不错，,5分,2020-10-08
不错😊，小吃多，小街不错。有趣好玩，。,5分,2020-10-07
体验很好，景色不错，值得推荐，有趣好玩，,5分,2020-10-07
有趣好玩，体验很好，景色不错，值得推荐，,5分,2020-10-07
有趣好玩，值得推荐，体验很好，景色不错，,5分,2020-10-06
景色不错，值得推荐，体验很好，有趣好玩，,5分,2020-10-06
国庆不能出远门，就选择了周庄，印象中周庄的知名度在江南六大古镇中最高。但这次亲身体验并不好，感觉明显不如西塘和乌镇，环境不够整洁、精致，河道比较窄，水也不干净，好多街巷太窄，加之是国庆，太过拥挤。体验不佳，景色一般，,3分,2020-10-04
体验很好，值得推荐，景色不错，有趣好玩，,5分,2020-10-03
不错的景点，江南水乡。购票可以多次入内。,5分,2020-10-03
景色不错，值得推荐，,5分,2020-09-23
值得推荐，景色不错，,5分,2020-09-22
景色不错，体验很好，,5分,2020-09-17
景色不错，值得推荐，,5分,2020-09-15
很适合悠闲度假的水镇,5分,2020-09-14
江南水乡总是给人一种温婉旖旎的感觉，每到这里就会不自觉的温柔起来，周庄就是这样一处所在，不管是画家陈逸飞笔下的双桥，还是富贵无边的沈万三的传说，抑或是往来穿梭的乌篷船，还是人来人往的游人，无不让人觉得时光慢了起来，真是一个休闲的好去处。,5分,2020-02-16
"周庄，因一幅画出名，成为中国最早发展旅游的古镇。白天的周庄，游人如织，商业兴盛，已经无法让人感受到古镇的魅力。但如果你住在古镇里面，晚上和清晨在游客还没有到来，商铺还没开门时，到古镇去走走停停，那么你会得到完全不一样的感觉，那个时刻的古镇，在一片宁静中向你展示她的历史和沧桑，除了偶尔出现的当地人，只有你在这里享受这难得的清净。
建议晚上9点后到这里，在古镇里面的客栈住，清晨旅游团到达前离开，才能真正欣赏到这里的美。",5分,2020-01-21
"周庄很值得一去，绝对是放松身心和放慢脚步的好去处！城市里像一个巨大的牢笼，生活节奏常常快的我不知该如何面对，来到了周庄仿佛是一个喧闹以外的地方。早上起来会看到有当地的原住民在河边洗衣服的景象，会看到一条条木板做的门，仿佛回到了过去。我最喜欢的还是周庄的夜景，灯火通明，小巷深处可能有一只小猫，可能有一只小狗，觉得这就是我心里想要的景色，安静。
【景色】
【趣味】
【性价比】",5分,2020-01-02
周庄古镇位于江苏省昆山市西南隅。东南与上海市青浦县的商塌为邻，西南与吴江市的莘塔接壤，东北与锦溪镇相衔，西北与吴县的淞南相望；为昆山、吴江、上海三市交界处。周庄镇60[%]以上的民居仍为明清建筑，有近百座古典宅院和60多个砖雕门楼，民居古风犹存，还保存了14座各具特色的古桥。著名景点有：沈万三故居、富安桥、双桥、沈厅、怪楼、周庄八景等。是中国水乡文化和吴地汉文化的瑰宝。,5分,2017-09-11
周庄的景色说实话比不上同里，但是这里的美食还有服务绝对的良心。首先白天逛了，下午找客栈住下，客栈老板都很热情而且礼貌，后来找了家江南堂的客栈，120的价格，大床房，配备齐全，而且据说还是网络旅游推荐客栈哟，怪不得了！睡了一觉，就找饭馆了，晚上八点多很多馆子都开始关了，进了一家古镇农家饭店，环境一般，很普通，老板很热情好客，本来我们下意识的想坐外面，他把我们迎进里间，开空调啊什么的，点菜的时候提醒我们可以点半分，别点多了，会吃不完，上了米饭米饭上有黑点会主动解释是粘锅底了别介意啊，感觉特别好。因为万三蹄几乎充斥了整个周庄所以点了半分，还点了野菜竹笋，三元丸子汤。开吃了，味道简直不能再好！万三蹄瘦的部分香软可口，肥的部分肥而不腻，我这个最讨厌吃肥肉的都吃了很多。野菜竹笋也很好吃，味道有点微微的甘甜，很开胃！丸子汤估计就是饭后解腻的，所以味道比较淡，但是喝了也挺好喝的！看最后我们的光盘子就知道这菜多好吃了！野菜竹笋连汤都拌饭了！！！[捂脸][捂脸][捂脸]吃完了继续逛，周庄有一个特点，就是会不时的给你惊喜，晚上看到了好多白天没看到的景点。打算天亮了一个个去逛！有个纸箱王的，跟客栈饭馆连一起的，晚上的时候各种惊艳～摆设的什么比萨斜塔、月亮湖、埃菲尔铁塔、风车……都是纸做的，有些是铁扭出来的～有些上面镶着灯，特别美！进去就跟进入童话世界一样！后来口渴了买奶茶，有家叫松枝记的，奶茶蛋仔味道超赞，价格也不贵，很亲民！以往景区给人的印象都是:千万别在里面买吃的，会被宰！千万别在里面住宿，服务不好还贼贵！来这里，一天下来，觉得周庄人好客乐观，开车的给你介绍景点，哪个套餐便宜，哪里有节目，其实他们跟景区酒店没有任何的利益关系；开饭馆的人会很有意无意的问你好不好吃，味道还可以吧，深怕自己的手艺不行被嫌弃；漫无目的的乱晃，因为周庄的出口太多，不小心就会走出去了，所以附近的周庄人会善意的提醒那里是出口。这些好感是在其他景区感受不到的，至今为止，至少我还没遇过比周庄态度好的景区了。  ,5分,2017-07-04
"周庄水乡古镇第一次来,留了周庄一直到现在.趁着假期去住过来逛逛,散散心、自己杭州开车过来1小时左右就到了.订了碧水云居客栈老板娘人不错、果然如评价所说的闹中取静,房间不多,但是很精致,也很干净,院子里有秋千,有小鱼池,还有一只胖胖的狗狗,很悠闲的感觉.周庄的景点反而没留下什么印象,特别在中市街34号一家卖布鞋的店名色鬼布艺，里面鞋子很别致，装修也很上档次、情不自禁给自己买了3双，带了2双给我的兄弟，很有社会范。",5分,2017-06-29
周庄是我的一个小梦想，终于兑现了。那虽然也有外来的店铺，邀请了一些外来老艺人，另外，美食方面没有动人之处，但在保留本土手艺方面做得不错，有铁匠，竹匠，鞋匠。去那物质上或许无法满足你的欲望，但精神上或多或少会感染可爱的你。希望驴友们，发下手机，放下照相机，用眼睛，耳朵记录下那的故事，早上坐在河边吹吹河风，听听鸟鸣，和当地人交个朋友，唠唠嗑，一切尽在不言中，愿你经历，愿你满载而归。☀,5分,2017-06-18
周庄之前来过，这次感觉更好，白天走走逛逛，中午在客栈午睡伴着阳光清风和船娘的歌声，晚上又与人拼了船赏了周庄夜景，同船的客人觉得周庄的桥灯光太少，我倒觉得这样更好，显得更内敛文静，第二天上午在阿婆茶楼喝茶听苏州评弹，也很开心满足。在吃的上面我们也花费不多，中午团购了花间堂的水饺和肉夹馍，也很好吃，晚饭和第二天早餐都是在景区外吃的。另外还赶上520集体婚礼，也挺热闹有趣的。,5分,2017-05-24
我从苏州去的周庄，坐的公交到周庄汽车站，还要打个车去周庄古镇，起步价，门票是100，检票之后到左手边把照片印到门票上，你可以三天之内进出都可以，我在周庄的客栈住了一宿，晚上的周庄很安静，游客也没那么多了，住一晚体验一下江南古镇生活还是不错的，白天好多旅游团好多人，去之后一定要吃沈三万猪蹄，它有点发甜的！20点之后进来就不用买票啦！,5分,2017-04-21
周庄呢早上转完平江路就直接去苏州北站坐旅游大巴来周庄了有学生票嘛套票一共八十一个半小时到周庄一下车坐景点观光车去码头坐船进入周庄周庄还是比较大的在里面能把人绕晕吧晚上还在景区里吃了饭六个菜没喝酒四个人花了将近三百不过味道还不错忘记吃饭的饭店名字了有点尴尬了……其实总体来说也就这样毕竟古镇都这个样子千篇一律吧不过周庄确实称得上水乡之称处处都能见水许多建筑都还是明清的晚上有点冷清了感觉都没有夜景也理解毕竟里面有本地人居住所以酒吧啊咖啡厅饭店不可能通宵达旦的营业八十坐船啊转了一下午还不错,5分,2017-01-01
"《鲜榨的发呆》

有水的地方就有生机，即使树梢已牵挂着憔悴。
有动才更显宁静，水面波光粼粼，使得空气中弥曼的静寂更让人感到安逸。
质朴的沧桑，小桥流水，炊烟还未升起，落日已然。
庭院幽深，即使一抹拐角也可见一簇紫竹，雅趣盎然；即使只有几米阳光洒下，屋檐上不知名的花仍顽强的生长，不惧孤独；弄堂后，一弯池水，一株老树，一只鸭，几只雀，远离尘嚣。
烟雨未见，冬季的寒冷让人身体不觉疲惫，却有老陌的倦怠，就着醇苦而且因为微凉而略带酸味的曼特宁，赏着往来的摇撸船，独自酿制一杯鲜榨的发呆，这就是一个午后的时光。
或许，在这某一个转角，拥有一个闲适的角落，发呆、品茶、吟诗才是文人骚客的向往吧。

——青松",5分,2016-12-18
典型的南方水乡，古镇四面环水，小河从古镇川流而过，著名的沈厅就在中心，感叹古时候的商人做生意真心不容易，给后人留下的豪宅倒是满足了我们现在人的眼福，有很多小吃店，芡实糕顶顶好吃，尤其香芋味和绿豆味儿的。无意间碰到一个卖花茶的老奶奶，天色已晚，冬日的冷风已起，心疼老奶奶，买了三包代代花，催她早些回家，回来发现这花茶出其不意的好喝，真是个惊喜。,5分,2016-12-12
周庄位于昆山，江南六大古镇之一，典型的江南水乡，小桥流水与人家。这里还是影视剧的拍摄现场，台湾纸箱王也在此，晚上也有驻唱歌手，可以点个套餐，边吃边听歌。夜晚灯光效果极佳，酒吧街在华灯点起后，驻唱歌手们的歌声把整个古镇推向了高潮～。,5分,2016-09-27
周庄有很多不好的点评，说商业化太浓，差点就不敢去。幸好我还是去了，真是值得去，至少我认为是。景区游人不多，干净的青石路，杨柳依偎着碧绿的河水，秀气的小石桥，来往穿梭的小船，随风送来阵阵的昆曲，小调。高挂的红灯笼，枕水的人家。就是一幅浓浓的江南水墨画。,5分,2016-09-25
早就想去周庄的，毕竟名声在外吗嘛，本人自助游，从苏州站北广场的旅游集散中心做大巴直接到，下车后，我是买的船票，在外围水上逛半圈后上岸，碰巧赶上同船有旅游团，听了听大致的讲解，还不错。大约逛了4个多小时，主要景点沈厅，双桥（陈逸飞），张厅的玉燕堂，终点后院旁边的小桥流水，下边还有一条船真的很有感觉（看图片），古镇里的食品说话没什么特色，本人相对吃素，对万三猪蹄不敢兴趣。去酒吧做了会，白天没什么人，酒水不便宜，还好赶上驻唱表演时间。回来的时候主要提前把票订好，周庄毕竟交通不是很方便，当然了自驾就无所谓了。建议：既然去了，就好好逛逛，游玩之前手机上最好装map,5分,2016-09-08
周庄号称中国第一水乡，确实有它的独特之处。景点主要有张厅、沈万三故居、南湖、南湖秋月园、全福讲寺等，景点本身倒一般，但放到江南水乡这个大环境里就别有风味了。可以包条船在水道里穿行，120元一条，可坐1-6人，拼船比较划算。夜景也不错哦，7:30以后进去就不要钱了。,5分,2016-06-11
周庄风景还是很不错的，傍晚景色最好，而且人流量相对较少，拍照什么的都很漂亮，周庄里面的客栈都特别漂亮，基本上每个都是很有特色的，基本上很携程网里发的照片一样，而且老板娘也很好，朋友们到了周庄古镇就可以打电话让客栈老板接的哟，一切的一切都很好，就是导游带的饭店，有点让人受不了。小分量小虾68一份，蒿子杆小分量28大田螺小分量48，其实量少价贵也没事，还不好吃，本来以为导游说是带我们去吃有特色的。结果挺失望的！还不如自己找呢！！其他的都挺好，就这个。。。。。。。还是自己找地方吃吧！早上吃的混沌，自己去吃的，大碗15好吃实惠,4分,2016-05-07
